ID,Label,Definition,Function,Example: ARABIC,Example: ENGLISH,Example: TURKISH
AA,Anger - Annoyance,"Expressing mild frustration, impatience, or irritation at someone's actions or a situation","Push for action. Signals protest, complaint, and rejection ","yii, eh, eii",ugh,yahu
SS,Surprise - Shock,Expressing sudden surprise or shock in reaction to an unexpected event (positive or negative),"Communicates a sudden reaction to unexpected events. Can express delight, alarm, or disbelief","oooo, waal",wow,"vay, oha"
D,Disgust,"Expressing revulsion, distaste, or disgust toward food, behavior, or other stimuli.",Signals a strong negative reaction or disapproval to something unpleasant.,yaa',ew,iyy
G,Gustatory Pleasure,Expressing enjoyment or pleasure from taste.,Signals appreciation for food or drink and communicates sensory pleasure,"numm, mmm","yumm, mmm","mmm, off"
E,Exhilaration,"Personal thrill, accomplishment, or sudden insight.",Celebrates success or expresses anticipation.,yaay,yay,oley
SD,Sadness/disappointment,"Expressing frustration, sadness, letdown, or dissatisfaction at someone or something.",Express dissatisfaction with outcomes. Signal regret. Convey emotional response to things not going as expected.,yee,ooo,tuh
R,Relief,"Expressing release from stress, danger, or discomfort, or feeling “finally done” with a situation.","Communicates sense of safety, relaxation, or satisfaction.",ahh,phew,oh
AS,Affection - Sympathy,"Expressing care, fondness, or emotional warmth toward someone or something. Often used to signal awe, adoration, or empathy.","Signals empathy, concern, or emotional connection, appreciation for cuteness or endearing situations.",ye,aw,ayy
IB,Indifference - Boredom,"Expressing dismissiveness, lack of interest, or unconcern.",Signals that the speaker does not care or is unconcerned about the situation.,iyy,meh beh,eh
P,Pain,Expressing physical pain or discomfort.,Expresses personal experience of pain and communicates distress to others.,ay,ouch,ay
N,Neutral,"No emotional content, essentially flat or expressionless.",Serves as baseline or filler in speech and marks utterance without emotional emphasis.,"neutral vocalizations like “Mm”, “Ee” when no emotion is intended.","neutral vocalizations like “Um”, “Uh” when no emotion is intended.","neutral vocalizations like “Mm”, “Ee” when no emotion is intended."
F,Fear,Sudden fear or startle (threat perception),Expresses fear or alerts others.,yeee,Woah,"oha, ah"
